Date,Time,Type of Transaction,Description,Asset Sent(SYMBOL),Asset Received(SYMBOL),Fee Paid In(SYMBOL),Quantity of Fee Paid,Quantity of Tds Paid
2022-10-16,12:32:28,Buy with INR,market,trx,INR,trx,0.074,0.0 
2022-10-16,12:36:14,Buy with INR,limit,trx,INR,trx,0.052,0.0 
2022-10-16,12:38:45,Buy with INR,limit,trx,INR,trx,2.042,0.0 
2022-10-16,12:38:31,Buy with INR,limit,trx,INR,trx,6.132,0.0 
2022-10-16,12:35:02,Buy with INR,market,trx,INR,trx,1.114,0.0 
2022-10-16,12:40:52,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:40:24,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:40:04,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:45:49,Buy with INR,limit,trx,INR,trx,0.158,0.0 
2022-10-16,12:41:16,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:47:23,Buy with INR,limit,trx,INR,trx,0.138,0.0 
2022-10-16,12:47:48,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:47:04,Buy with INR,limit,trx,INR,trx,0.18,0.0 
2022-10-16,12:48:53,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:49:49,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:48:08,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:50:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:50:22,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:51:37,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:51:17,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:54:59,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:58:43,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:56:19,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:59:04,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:59:36,Buy with INR,market,trx,INR,trx,1.178,0.0 
2022-10-16,13:03:48,Buy with INR,limit,trx,INR,trx,0.122,0.0 
2022-10-16,13:09:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:10:16,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:00:05,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:14:25,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:07:04,Buy with INR,limit,trx,INR,trx,0.122,0.0 
2022-10-16,13:15:49,Buy with INR,limit,trx,INR,trx,0.128,0.0 
2022-10-16,13:16:32,Buy with INR,limit,trx,INR,trx,2.048,0.0 
2022-10-16,13:17:20,Buy with INR,limit,trx,INR,trx,0.122,0.0 
2022-10-16,13:19:08,Buy with INR,limit,trx,INR,trx,2.816,0.0 
2022-10-16,13:18:17,Buy with INR,limit,trx,INR,trx,6.338,0.0 
2022-10-16,13:19:31,Buy with INR,market,trx,INR,trx,0.22,0.0 
2022-10-16,13:19:19,Buy with INR,limit,trx,INR,trx,0.454,0.0 
2022-10-16,13:18:41,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:19:47,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:20:43,Buy with INR,limit,trx,INR,trx,0.81,0.0 
2022-10-16,13:21:07,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:21:19,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,13:21:00,Buy with INR,market,trx,INR,trx,0.174,0.0 
2022-10-16,13:21:35,Buy with INR,limit,trx,INR,trx,0.154,0.0 
2022-10-16,13:26:17,Buy with INR,limit,trx,INR,trx,8.444,0.0 
2022-10-16,15:45:45,Buy with INR,limit,trx,INR,trx,1.374,0.0 
2022-10-16,15:47:20,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,15:45:00,Buy with INR,limit,trx,INR,trx,3.046,0.0 
2022-10-16,15:47:01,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,15:45:19,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,15:47:38,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,15:47:57,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,15:48:25,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,15:53:35,Buy with INR,market,trx,INR,trx,0.544,0.0 
2022-10-16,16:02:14,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,16:07:48,Buy with INR,limit,trx,INR,trx,30.554,0.0 
2022-10-16,15:53:48,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,16:52:19,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,17:03:12,Buy with INR,limit,trx,INR,trx,0.442,0.0 
2022-10-16,17:40:20,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,17:40:05,Buy with INR,market,trx,INR,trx,0.106,0.0 
2022-10-16,17:37:42,Buy with INR,limit,trx,INR,trx,0.132,0.0 
2022-10-16,22:09:33,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,22:24:32,Buy with INR,limit,trx,INR,trx,0.182,0.0 
2022-10-16,22:58:30,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,23:00:00,Buy with INR,limit,trx,INR,trx,0.04,0.0 
2022-10-16,22:13:40,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,23:00:44,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,23:20:47,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,23:18:54,Buy with INR,limit,trx,INR,trx,0.184,0.0 
2022-10-16,23:19:38,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,23:24:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:10:17,Buy with INR,limit,trx,INR,trx,0.114,0.0 
2022-10-16,23:25:09,Buy with INR,limit,trx,INR,trx,0.42,0.0 
2022-10-17,00:12:29,Buy with INR,limit,trx,INR,trx,0.146,0.0 
2022-10-17,00:17:29,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:11:36,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:13:53,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:19:10,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:20:00,Buy with INR,limit,trx,INR,trx,0.194,0.0 
2022-10-17,00:27:26,Buy with INR,limit,trx,INR,trx,0.186,0.0 
2022-10-17,00:35:10,Buy with INR,limit,trx,INR,trx,0.268,0.0 
2022-10-17,00:28:58,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:30:07,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:35:25,Buy with INR,market,trx,INR,trx,0.796,0.0 
2022-10-17,00:36:02,Buy with INR,market,trx,INR,trx,0.076,0.0 
2022-10-17,00:35:56,Buy with INR,market,trx,INR,trx,0.188,0.0 
2022-10-17,00:57:05,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:27:49,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,00:35:41,Buy with INR,market,trx,INR,trx,0.974,0.0 
2022-10-17,00:57:28,Buy with INR,limit,trx,INR,trx,0.212,0.0 
2022-10-17,01:00:51,Buy with INR,limit,trx,INR,trx,42.48,0.0 
2022-10-17,01:04:45,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,01:05:23,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,01:05:40,Buy with INR,limit,trx,INR,trx,0.188,0.0 
2022-10-16,07:48:58,Buy with INR,limit,trx,INR,trx,9.61,0.0 
2022-10-17,04:26:39,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:30:33,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,01:13:17,Buy with INR,limit,trx,INR,trx,0.746,0.0 
2022-10-17,04:30:59,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-17,04:34:26,Buy with INR,limit,trx,INR,trx,0.148,0.0 
2022-10-17,04:30:44,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-17,04:32:19,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:36:11,Buy with INR,market,trx,INR,trx,3.048,0.0 
2022-10-17,04:37:02,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:36:19,Buy with INR,market,trx,INR,trx,2.856,0.0 
2022-10-17,04:40:02,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:37:50,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:49:50,Buy with INR,market,trx,INR,trx,0.042,0.0 
2022-10-17,04:33:13,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:51:11,Buy with INR,market,trx,INR,trx,0.674,0.0 
2022-10-17,04:45:29,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-17,04:52:20,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:47:58,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:58:39,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:59:21,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:58:15,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:58:57,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,05:00:13,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,04:51:30,Buy with INR,market,trx,INR,trx,0.708,0.0 
2022-10-17,05:01:05,Buy with INR,market,trx,INR,trx,2.28,0.0 
2022-10-17,05:06:45,Buy with INR,market,trx,INR,trx,2.686,0.0 
2022-10-17,05:06:23,Buy with INR,market,trx,INR,trx,0.124,0.0 
2022-10-17,05:07:16,Buy with INR,market,trx,INR,trx,0.072,0.0 
2022-10-17,05:10:57,Buy with INR,market,trx,INR,trx,0.402,0.0 
2022-10-17,05:07:39,Buy with INR,market,trx,INR,trx,0.156,0.0 
2022-10-17,05:11:07,Buy with INR,market,trx,INR,trx,0.442,0.0 
2022-10-17,05:01:19,Buy with INR,market,trx,INR,trx,0.944,0.0 
2022-10-17,05:08:06,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-17,05:24:10,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,05:30:24,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,05:36:33,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,05:47:25,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,06:14:37,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,06:02:46,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,05:11:39,Buy with INR,limit,trx,INR,trx,0.32,0.0 
2022-10-17,06:49:45,Buy with INR,limit,trx,INR,trx,0.17,0.0 
2022-10-17,06:42:46,Buy with INR,limit,trx,INR,trx,0.144,0.0 
2022-10-17,06:59:19,Buy with INR,limit,trx,INR,trx,0.698,0.0 
2022-10-17,06:46:29,Buy with INR,limit,trx,INR,trx,0.184,0.0 
2022-10-17,08:19:17,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,08:20:43,Buy with INR,limit,trx,INR,trx,12.328,0.0 
2022-10-17,06:52:54,Buy with INR,limit,trx,INR,trx,0.238,0.0 
2022-10-17,08:21:19,Buy with INR,limit,trx,INR,trx,2.562,0.0 
2022-10-17,08:20:58,Buy with INR,limit,trx,INR,trx,9.776,0.0 
2022-10-17,09:50:07,Buy with INR,market,trx,INR,trx,0.298,0.0 
2022-10-17,09:34:02,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,09:50:33,Buy with INR,market,trx,INR,trx,1.722,0.0 
2022-10-17,09:50:20,Buy with INR,market,trx,INR,trx,0.96,0.0 
2022-10-17,09:49:49,Buy with INR,limit,trx,INR,trx,6.004,0.0 
2022-10-17,09:50:38,Buy with INR,market,trx,INR,trx,0.968,0.0 
2022-10-17,09:50:48,Buy with INR,market,trx,INR,trx,0.746,0.0 
2022-10-17,09:50:54,Buy with INR,market,trx,INR,trx,0.982,0.0 
2022-10-17,10:15:07,Buy with INR,limit,trx,INR,trx,0.162,0.0 
2022-10-17,09:54:49,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,10:18:27,Buy with INR,limit,trx,INR,trx,0.08,0.0 
2022-10-17,10:10:10,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,10:20:01,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,10:25:04,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,10:19:24,Buy with INR,limit,trx,INR,trx,7.39,0.0 
2022-10-17,10:25:36,Buy with INR,limit,trx,INR,trx,0.144,0.0 
2022-10-17,10:28:35,Buy with INR,limit,trx,INR,trx,2.02,0.0 
2022-10-17,10:55:18,Buy with INR,limit,trx,INR,trx,0.052,0.0 
2022-10-17,10:57:37,Buy with INR,limit,trx,INR,trx,0.73,0.0 
2022-10-17,11:03:27,Buy with INR,market,trx,INR,trx,4.624,0.0 
2022-10-17,11:05:45,Buy with INR,market,trx,INR,trx,0.046,0.0 
2022-10-17,11:05:53,Buy with INR,limit,trx,INR,trx,0.334,0.0 
2022-10-17,11:15:32,Buy with INR,limit,trx,INR,trx,1.39,0.0 
2022-10-17,11:13:31,Buy with INR,limit,trx,INR,trx,0.168,0.0 
2022-10-17,11:29:57,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:17:18,Buy with INR,limit,trx,INR,trx,5.704,0.0 
2022-10-17,11:24:10,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:35:57,Buy with INR,market,trx,INR,trx,0.704,0.0 
2022-10-17,11:15:16,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:35:27,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:39:50,Buy with INR,limit,trx,INR,trx,1.494,0.0 
2022-10-17,11:35:38,Buy with INR,market,trx,INR,trx,0.816,0.0 
2022-10-17,11:39:32,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:40:00,Buy with INR,limit,trx,INR,trx,0.054,0.0 
2022-10-17,11:40:38,Buy with INR,limit,trx,INR,trx,0.058,0.0 
2022-10-17,11:43:11,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:43:20,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-18,08:48:39,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,08:49:22,Buy with INR,limit,trx,INR,,,0.0 
2022-10-17,11:43:33,Buy with INR,limit,trx,INR,trx,7.082,0.0 
2022-10-18,08:49:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,08:49:42,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,08:50:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,08:51:18,Buy with INR,limit,trx,INR,trx,0.04,0.0 
2022-10-18,08:52:38,Buy with INR,limit,trx,INR,trx,0.186,0.0 
2022-10-18,08:53:11,Buy with INR,market,trx,INR,trx,0.382,0.0 
2022-10-18,08:50:18,Buy with INR,limit,trx,INR,trx,0.064,0.0 
2022-10-18,08:57:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,09:05:04,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,08:57:40,Buy with INR,limit,trx,INR,trx,15.846,0.0 
2022-10-18,09:04:02,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,09:05:35,Buy with INR,limit,trx,INR,trx,1.672,0.0 
2022-10-18,09:06:06,Buy with INR,market,trx,INR,trx,0.266,0.0 
2022-10-18,09:05:52,Buy with INR,market,trx,INR,trx,1.73,0.0 
2022-10-18,09:07:22,Buy with INR,market,trx,INR,trx,0.872,0.0 
2022-10-18,09:08:11,Buy with INR,limit,trx,INR,trx,4.204,0.0 
2022-10-18,09:07:54,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,09:07:12,Buy with INR,market,trx,INR,trx,0.94,0.0 
2022-10-18,09:08:34,Buy with INR,limit,trx,INR,trx,0.654,0.0 
2022-10-18,09:13:32,Buy with INR,market,trx,INR,trx,0.322,0.0 
2022-10-18,09:13:39,Buy with INR,market,trx,INR,trx,0.32,0.0 
2022-10-18,09:13:59,Buy with INR,limit,trx,INR,trx,6.6,0.0 
2022-10-18,09:16:05,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,09:15:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,09:21:54,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,09:23:16,Buy with INR,limit,trx,INR,trx,14.7,0.0 
2022-10-18,09:45:41,Buy with INR,limit,trx,INR,trx,1.554,0.0 
2022-10-18,09:43:51,Buy with INR,limit,trx,INR,trx,0.108,0.0 
2022-10-18,09:46:17,Buy with INR,market,trx,INR,trx,0.22,0.0 
2022-10-18,09:46:30,Buy with INR,market,trx,INR,trx,0.204,0.0 
2022-10-18,09:45:53,Buy with INR,market,trx,INR,trx,0.178,0.0 
2022-10-18,09:46:38,Buy with INR,market,trx,INR,trx,0.278,0.0 
2022-10-18,09:46:50,Buy with INR,limit,trx,INR,trx,0.588,0.0 
2022-10-18,09:56:42,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,10:00:54,Buy with INR,limit,trx,INR,trx,0.254,0.0 
2022-10-18,10:17:09,Buy with INR,market,trx,INR,trx,1.004,0.0 
2022-10-18,10:17:15,Buy with INR,market,trx,INR,trx,0.55,0.0 
2022-10-18,09:58:49,Buy with INR,limit,trx,INR,trx,11.69,0.0 
2022-10-18,10:00:05,Buy with INR,limit,trx,INR,trx,0.198,0.0 
2022-10-18,09:59:07,Buy with INR,limit,trx,INR,trx,5.278,0.0 
2022-10-18,10:17:35,Buy with INR,market,trx,INR,trx,0.702,0.0 
2022-10-18,10:22:06,Buy with INR,limit,trx,INR,trx,0.156,0.0 
2022-10-18,10:24:08,Buy with INR,limit,trx,INR,trx,0.074,0.0 
2022-10-16,13:18:00,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,10:17:57,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,10:29:08,Buy with INR,market,trx,INR,trx,0.966,0.0 
2022-10-18,10:28:50,Buy with INR,market,trx,INR,trx,0.696,0.0 
2022-10-18,10:29:02,Buy with INR,market,trx,INR,trx,0.268,0.0 
2022-10-18,10:29:39,Buy with INR,limit,trx,INR,trx,6.968,0.0 
2022-10-18,10:29:50,Buy with INR,market,trx,INR,trx,1.998,0.0 
2022-10-18,10:29:57,Buy with INR,market,trx,INR,trx,4.728,0.0 
2022-10-18,10:30:00,Buy with INR,market,trx,INR,trx,3.546,0.0 
2022-10-18,10:29:22,Buy with INR,market,trx,INR,trx,0.784,0.0 
2022-10-16,17:39:50,Buy with INR,limit,trx,INR,trx,3.494,0.0 
2022-10-18,10:57:13,Buy with INR,limit,trx,INR,trx,6.196,0.0 
2022-10-18,10:32:54,Buy with INR,limit,trx,INR,trx,0.076,0.0 
2022-10-18,11:37:22,Buy with INR,market,trx,INR,trx,1.57,0.0 
2022-10-18,11:38:37,Buy with INR,limit,trx,INR,trx,0.092,0.0 
2022-10-18,11:38:19,Buy with INR,market,trx,INR,trx,0.272,0.0 
2022-10-18,11:38:27,Buy with INR,market,trx,INR,trx,0.29,0.0 
2022-10-18,10:30:22,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,11:39:14,Buy with INR,market,trx,INR,trx,0.832,0.0 
2022-10-18,10:56:27,Buy with INR,limit,trx,INR,trx,0.144,0.0 
2022-10-18,11:39:26,Buy with INR,market,trx,INR,trx,0.106,0.0 
2022-10-18,11:46:15,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,11:40:28,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,12:22:04,Buy with INR,market,trx,INR,trx,2.056,0.0 
2022-10-18,12:21:40,Buy with INR,limit,trx,INR,trx,0.052,0.0 
2022-10-18,12:22:18,Buy with INR,market,trx,INR,trx,2.0,0.0 
2022-10-18,12:22:33,Buy with INR,market,trx,INR,trx,0.538,0.0 
2022-10-18,12:24:12,Buy with INR,limit,trx,INR,trx,0.132,0.0 
2022-10-18,12:25:42,Buy with INR,limit,trx,INR,trx,41.406,0.0 
