Date,Time,Type of Transaction,Description,Asset Sent(SYMBOL),Asset Received(SYMBOL),Fee Paid In(SYMBOL),Quantity of Fee Paid,Quantity of Tds Paid
2022-10-18,15:24:17,Buy with INR,limit,trx,INR,trx,0.066,0.0 
2022-10-18,15:28:30,Buy with INR,limit,trx,INR,trx,1.834,0.0 
2022-10-18,15:29:00,Buy with INR,market,trx,INR,trx,0.07,0.0 
2022-10-18,15:32:11,Buy with INR,limit,trx,INR,trx,1.128,0.0 
2022-10-18,15:32:01,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,15:31:39,Buy with INR,limit,trx,INR,trx,18.706,0.0 
2022-10-18,15:30:13,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,15:32:58,Buy with INR,limit,trx,INR,trx,20.636,0.0 
2022-10-18,15:32:27,Buy with INR,market,trx,INR,trx,1.118,0.0 
2022-10-18,17:17:47,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,15:33:23,Buy with INR,limit,trx,INR,trx,1.184,0.0 
2022-10-18,17:18:34,Buy with INR,limit,trx,INR,trx,0.264,0.0 
2022-10-18,17:51:27,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,17:22:34,Buy with INR,limit,trx,INR,trx,0.186,0.0 
2022-10-18,17:21:46,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-18,17:52:38,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-18,17:52:01,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,17:52:20,Buy with INR,market,trx,INR,trx,3.53,0.0 
2022-10-18,17:57:43,Buy with INR,market,trx,INR,trx,0.082,0.0 
2022-10-18,17:49:10,Buy with INR,limit,trx,INR,trx,0.184,0.0 
2022-10-18,21:49:48,Buy with INR,limit,trx,INR,trx,1.332,0.0 
2022-10-18,17:58:26,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,22:46:30,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,17:59:33,Buy with INR,limit,trx,INR,trx,7.548,0.0 
2022-10-18,22:46:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,22:51:26,Buy with INR,limit,trx,INR,trx,6.002,0.0 
2022-10-18,20:22:31,Buy with INR,limit,trx,INR,trx,8.128,0.0 
2022-10-18,22:50:33,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,22:51:41,Buy with INR,limit,trx,INR,trx,9.232,0.0 
2022-10-18,22:52:00,Buy with INR,limit,trx,INR,trx,3.084,0.0 
2022-10-18,22:52:31,Buy with INR,market,trx,INR,trx,1.816,0.0 
2022-10-18,22:52:24,Buy with INR,market,trx,INR,trx,0.194,0.0 
2022-10-18,22:53:03,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,22:52:45,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,22:53:24,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-18,22:52:36,Buy with INR,market,trx,INR,trx,0.188,0.0 
2022-10-18,22:53:36,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-18,23:24:29,Buy with INR,limit,trx,INR,trx,0.124,0.0 
2022-10-18,22:53:46,Buy with INR,limit,trx,INR,trx,0.06,0.0 
2022-10-18,23:29:20,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,23:29:07,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,23:29:41,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,23:29:53,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,23:32:05,Buy with INR,market,trx,INR,trx,0.112,0.0 
2022-10-18,23:32:18,Buy with INR,limit,trx,INR,trx,1.49,0.0 
2022-10-18,23:30:14,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,00:22:11,Buy with INR,limit,trx,INR,trx,0.398,0.0 
2022-10-19,00:22:24,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,00:25:47,Buy with INR,limit,trx,INR,trx,0.456,0.0 
2022-10-19,00:26:38,Buy with INR,limit,trx,INR,trx,0.366,0.0 
2022-10-19,00:47:16,Buy with INR,limit,trx,INR,trx,0.624,0.0 
2022-10-19,01:02:45,Buy with INR,limit,trx,INR,trx,6.316,0.0 
2022-10-19,05:09:33,Buy with INR,limit,trx,INR,trx,0.066,0.0 
2022-10-19,00:41:07,Buy with INR,limit,trx,INR,trx,0.094,0.0 
2022-10-19,05:11:39,Buy with INR,market,trx,INR,trx,0.256,0.0 
2022-10-19,01:02:07,Buy with INR,limit,trx,INR,trx,0.744,0.0 
2022-10-19,05:22:29,Buy with INR,limit,trx,INR,trx,0.116,0.0 
2022-10-19,00:43:54,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,05:30:36,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,05:11:26,Buy with INR,limit,trx,INR,trx,0.106,0.0 
2022-10-19,05:16:16,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,06:09:46,Buy with INR,limit,trx,INR,trx,0.114,0.0 
2022-10-19,06:05:46,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,06:08:52,Buy with INR,limit,trx,INR,trx,0.08,0.0 
2022-10-19,06:11:24,Buy with INR,limit,trx,INR,trx,0.164,0.0 
2022-10-19,06:13:00,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,06:13:21,Buy with INR,limit,trx,INR,trx,0.072,0.0 
2022-10-19,07:01:28,Buy with INR,limit,trx,INR,trx,0.28,0.0 
2022-10-19,06:49:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,07:04:09,Buy with INR,market,trx,INR,trx,3.64,0.0 
2022-10-19,07:07:06,Buy with INR,market,trx,INR,trx,10.0,0.0 
2022-10-19,07:14:02,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,07:04:44,Buy with INR,market,trx,INR,trx,0.12,0.0 
2022-10-19,07:04:27,Buy with INR,market,trx,INR,trx,0.244,0.0 
2022-10-19,07:18:20,Buy with INR,limit,trx,INR,trx,9.064,0.0 
2022-10-19,07:08:54,Buy with INR,market,trx,INR,trx,3.792,0.0 
2022-10-19,07:35:34,Buy with INR,market,trx,INR,trx,1.614,0.0 
2022-10-19,07:35:43,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,07:35:08,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,07:35:23,Buy with INR,limit,trx,INR,trx,6.798,0.0 
2022-10-19,07:40:16,Buy with INR,limit,trx,INR,trx,1.518,0.0 
2022-10-19,07:41:03,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,07:36:52,Buy with INR,limit,trx,INR,trx,0.158,0.0 
2022-10-19,07:41:14,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-19,07:44:29,Buy with INR,limit,trx,INR,trx,0.122,0.0 
2022-10-19,07:48:11,Buy with INR,limit,trx,INR,trx,0.334,0.0 
2022-10-19,08:16:13,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,08:16:27,Buy with INR,limit,trx,INR,trx,0.186,0.0 
2022-10-19,08:14:23,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,08:18:59,Buy with INR,limit,trx,INR,trx,16.364,0.0 
2022-10-19,10:19:30,Buy with INR,limit,trx,INR,trx,0.152,0.0 
2022-10-19,10:18:23,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,10:21:46,Buy with INR,limit,trx,INR,trx,1.092,0.0 
2022-10-19,10:26:08,Buy with INR,limit,trx,INR,trx,0.112,0.0 
2022-10-19,10:25:18,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,10:24:59,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,10:27:21,Buy with INR,limit,trx,INR,trx,0.056,0.0 
2022-10-19,10:25:55,Buy with INR,limit,trx,INR,trx,10.896,0.0 
2022-10-19,10:26:42,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,10:28:57,Buy with INR,limit,trx,INR,trx,0.078,0.0 
2022-10-19,10:32:14,Buy with INR,limit,trx,INR,trx,0.308,0.0 
2022-10-19,10:28:07,Buy with INR,limit,trx,INR,trx,0.12,0.0 
2022-10-19,10:36:23,Buy with INR,limit,trx,INR,trx,5.888,0.0 
2022-10-19,10:36:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,10:57:37,Buy with INR,limit,trx,INR,trx,0.084,0.0 
2022-10-19,11:04:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,11:03:11,Buy with INR,limit,trx,INR,trx,0.066,0.0 
2022-10-19,11:05:09,Buy with INR,limit,trx,INR,trx,0.172,0.0 
2022-10-19,11:07:12,Buy with INR,limit,trx,INR,trx,0.112,0.0 
2022-10-19,11:15:13,Buy with INR,limit,trx,INR,trx,0.098,0.0 
2022-10-19,11:16:27,Buy with INR,limit,trx,INR,trx,0.066,0.0 
2022-10-19,11:39:46,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,11:25:47,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,11:06:42,Buy with INR,limit,trx,INR,trx,5.472,0.0 
2022-10-19,11:20:03,Buy with INR,limit,trx,INR,trx,0.304,0.0 
2022-10-19,12:22:25,Buy with INR,limit,trx,INR,trx,2.29,0.0 
2022-10-19,11:54:03,Buy with INR,limit,trx,INR,trx,0.35,0.0 
2022-10-19,11:40:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:21:50,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:22:57,Buy with INR,limit,trx,INR,trx,0.136,0.0 
2022-10-19,12:23:54,Buy with INR,limit,trx,INR,trx,0.074,0.0 
2022-10-19,12:26:27,Buy with INR,limit,trx,INR,trx,0.21,0.0 
2022-10-19,12:22:39,Buy with INR,market,trx,INR,trx,1.354,0.0 
2022-10-19,12:25:29,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:22:46,Buy with INR,market,trx,INR,trx,0.166,0.0 
2022-10-19,12:27:38,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:28:42,Buy with INR,limit,trx,INR,trx,0.156,0.0 
2022-10-19,12:29:49,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:30:11,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:29:28,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:31:26,Buy with INR,limit,trx,INR,trx,0.182,0.0 
2022-10-19,12:30:35,Buy with INR,limit,trx,INR,trx,0.698,0.0 
2022-10-19,12:38:38,Buy with INR,limit,trx,INR,trx,0.086,0.0 
2022-10-19,12:38:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:32:57,Buy with INR,limit,trx,INR,trx,0.34,0.0 
2022-10-19,13:18:11,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,12:40:26,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,13:21:52,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,13:18:23,Buy with INR,limit,trx,INR,trx,3.306,0.0 
2022-10-19,13:22:10,Buy with INR,limit,trx,INR,trx,3.412,0.0 
2022-10-19,12:39:13,Buy with INR,limit,trx,INR,trx,0.164,0.0 
2022-10-19,13:29:02,Buy with INR,limit,trx,INR,trx,4.334,0.0 
2022-10-19,13:51:03,Buy with INR,limit,trx,INR,trx,1.56,0.0 
2022-10-19,14:28:43,Buy with INR,limit,trx,INR,trx,5.044,0.0 
2022-10-19,14:34:04,Buy with INR,limit,trx,INR,trx,2.31,0.0 
2022-10-19,14:20:50,Buy with INR,limit,trx,INR,trx,2.722,0.0 
2022-10-19,15:12:51,Buy with INR,limit,trx,INR,trx,0.342,0.0 
2022-10-19,15:15:34,Buy with INR,limit,trx,INR,trx,0.466,0.0 
2022-10-19,14:29:33,Buy with INR,limit,trx,INR,trx,0.062,0.0 
2022-10-19,14:32:55,Buy with INR,limit,trx,INR,trx,2.598,0.0 
2022-10-19,15:15:11,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,15:32:25,Buy with INR,limit,trx,INR,trx,14.84,0.0 
2022-10-19,15:32:45,Buy with INR,market,trx,INR,trx,0.924,0.0 
2022-10-19,15:43:43,Buy with INR,limit,trx,INR,trx,0.152,0.0 
2022-10-19,15:32:58,Buy with INR,limit,trx,INR,trx,0.182,0.0 
2022-10-19,15:34:04,Buy with INR,limit,trx,INR,trx,0.198,0.0 
2022-10-19,15:43:04,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,15:45:39,Buy with INR,limit,trx,INR,trx,0.134,0.0 
2022-10-19,16:28:38,Buy with INR,limit,trx,INR,trx,4.632,0.0 
2022-10-19,15:47:38,Buy with INR,limit,trx,INR,trx,5.61,0.0 
2022-10-19,17:22:34,Buy with INR,limit,trx,INR,trx,0.174,0.0 
2022-10-19,15:54:42,Buy with INR,limit,trx,INR,trx,0.982,0.0 
2022-10-19,17:28:44,Buy with INR,limit,trx,INR,trx,2.848,0.0 
2022-10-19,16:06:44,Buy with INR,limit,trx,INR,trx,0.078,0.0 
2022-10-19,17:10:47,Buy with INR,limit,trx,INR,trx,0.168,0.0 
2022-10-20,05:21:48,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,17:25:52,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,21:41:32,Buy with INR,limit,trx,INR,trx,0.148,0.0 
2022-10-20,05:47:09,Buy with INR,limit,trx,INR,,,0.0 
2022-10-19,22:24:19,Buy with INR,limit,trx,INR,trx,39.922,0.0 
2022-10-20,05:46:53,Buy with INR,market,trx,INR,trx,0.304,0.0 
2022-10-20,05:47:00,Buy with INR,market,trx,INR,trx,7.132,0.0 
2022-10-20,05:48:01,Buy with INR,market,trx,INR,trx,8.368,0.0 
2022-10-20,05:47:36,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,05:48:18,Buy with INR,market,trx,INR,trx,0.34,0.0 
2022-10-20,05:47:43,Buy with INR,market,trx,INR,trx,9.208,0.0 
2022-10-20,05:47:50,Buy with INR,market,trx,INR,trx,0.546,0.0 
2022-10-20,05:49:03,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,05:52:04,Buy with INR,market,trx,INR,trx,0.392,0.0 
2022-10-20,05:52:18,Buy with INR,market,trx,INR,trx,1.258,0.0 
2022-10-20,05:48:23,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-20,05:53:36,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,05:53:52,Buy with INR,limit,trx,INR,trx,18.798,0.0 
2022-10-20,05:53:42,Buy with INR,market,trx,INR,trx,0.364,0.0 
2022-10-20,06:19:32,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,05:52:59,Buy with INR,limit,trx,INR,trx,4.472,0.0 
2022-10-20,05:54:09,Buy with INR,limit,trx,INR,trx,5.364,0.0 
2022-10-20,06:30:26,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:29:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:34:28,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:30:44,Buy with INR,limit,trx,INR,trx,0.082,0.0 
2022-10-20,06:32:23,Buy with INR,limit,trx,INR,trx,0.146,0.0 
2022-10-20,06:34:46,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:35:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:35:28,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:39:18,Buy with INR,limit,trx,INR,trx,0.228,0.0 
2022-10-20,06:36:57,Buy with INR,limit,trx,INR,trx,0.76,0.0 
2022-10-20,06:39:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:44:15,Buy with INR,limit,trx,INR,trx,5.644,0.0 
2022-10-20,06:44:42,Buy with INR,market,trx,INR,trx,0.712,0.0 
2022-10-20,06:47:05,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:46:31,Buy with INR,limit,trx,INR,trx,10.24,0.0 
2022-10-20,06:44:29,Buy with INR,market,trx,INR,trx,5.834,0.0 
2022-10-20,06:45:05,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:55:49,Buy with INR,limit,trx,INR,trx,0.146,0.0 
2022-10-20,06:56:05,Buy with INR,market,trx,INR,trx,0.196,0.0 
2022-10-20,06:56:19,Buy with INR,market,trx,INR,trx,0.226,0.0 
2022-10-20,06:56:36,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-20,06:57:18,Buy with INR,market,trx,INR,trx,0.126,0.0 
2022-10-20,06:58:35,Buy with INR,market,trx,INR,trx,0.744,0.0 
2022-10-20,06:57:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,06:57:44,Buy with INR,market,trx,INR,trx,0.344,0.0 
2022-10-20,06:58:40,Buy with INR,market,trx,INR,trx,0.26,0.0 
2022-10-20,06:58:53,Buy with INR,market,trx,INR,trx,0.242,0.0 
2022-10-20,06:59:04,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-20,06:58:48,Buy with INR,market,trx,INR,trx,0.436,0.0 
2022-10-20,09:36:38,Buy with INR,limit,trx,INR,trx,0.058,0.0 
2022-10-20,06:58:58,Buy with INR,market,trx,INR,trx,0.122,0.0 
2022-10-20,06:57:35,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,09:39:55,Buy with INR,limit,trx,INR,trx,0.39,0.0 
2022-10-20,09:39:37,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,09:45:50,Buy with INR,market,trx,INR,trx,0.288,0.0 
2022-10-20,09:45:37,Buy with INR,market,trx,INR,trx,0.442,0.0 
2022-10-20,09:46:35,Buy with INR,limit,trx,INR,trx,0.134,0.0 
2022-10-20,09:55:47,Buy with INR,limit,trx,INR,trx,3.332,0.0 
2022-10-20,09:48:33,Buy with INR,limit,trx,INR,trx,0.51,0.0 
2022-10-20,09:44:41,Buy with INR,market,trx,INR,trx,8.866,0.0 
2022-10-20,09:57:28,Buy with INR,market,trx,INR,trx,0.156,0.0 
2022-10-20,09:56:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,09:47:39,Buy with INR,market,trx,INR,trx,0.388,0.0 
2022-10-20,09:57:49,Buy with INR,limit,trx,INR,trx,32.57,0.0 
2022-10-20,09:57:40,Buy with INR,market,trx,INR,trx,0.158,0.0 
2022-10-20,12:24:27,Buy with INR,limit,trx,INR,trx,0.198,0.0 
2022-10-20,12:56:47,Buy with INR,limit,trx,INR,trx,0.054,0.0 
2022-10-20,12:24:05,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,13:13:01,Buy with INR,market,trx,INR,trx,0.736,0.0 
2022-10-20,13:13:14,Buy with INR,limit,trx,INR,trx,0.26,0.0 
2022-10-20,13:13:46,Buy with INR,market,trx,INR,trx,0.284,0.0 
2022-10-20,12:59:22,Buy with INR,limit,trx,INR,trx,0.244,0.0 
2022-10-20,13:13:56,Buy with INR,market,trx,INR,trx,0.274,0.0 
2022-10-20,13:26:31,Buy with INR,market,trx,INR,trx,26.02,0.0 
2022-10-20,13:15:13,Buy with INR,market,trx,INR,trx,0.042,0.0 
2022-10-20,13:17:25,Buy with INR,limit,trx,INR,trx,11.564,0.0 
2022-10-20,13:27:01,Buy with INR,limit,trx,INR,trx,4.34,0.0 
2022-10-20,13:26:36,Buy with INR,market,trx,INR,trx,4.336,0.0 
2022-10-20,15:54:36,Buy with INR,limit,trx,INR,trx,8.192,0.0 
2022-10-20,15:47:41,Buy with INR,limit,trx,INR,trx,0.052,0.0 
2022-10-20,16:10:26,Buy with INR,market,trx,INR,trx,14.496,0.0 
2022-10-20,16:27:18,Buy with INR,limit,trx,INR,trx,0.192,0.0 
2022-10-20,15:54:54,Buy with INR,limit,trx,INR,trx,15.02,0.0 
2022-10-20,16:10:16,Buy with INR,market,trx,INR,trx,0.706,0.0 
2022-10-20,16:45:59,Buy with INR,limit,trx,INR,trx,0.19,0.0 
2022-10-20,19:01:30,Buy with INR,limit,trx,INR,trx,0.3,0.0 
2022-10-20,20:45:08,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,16:47:06,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,22:20:59,Buy with INR,limit,trx,INR,trx,6.36,0.0 
2022-10-20,20:48:07,Buy with INR,limit,trx,INR,trx,0.07,0.0 
2022-10-20,22:22:27,Buy with INR,market,trx,INR,trx,0.606,0.0 
2022-10-20,22:21:24,Buy with INR,market,trx,INR,trx,5.754,0.0 
2022-10-20,16:57:46,Buy with INR,limit,trx,INR,trx,0.652,0.0 
2022-10-20,22:22:50,Buy with INR,market,trx,INR,trx,0.55,0.0 
2022-10-20,22:45:35,Buy with INR,market,trx,INR,trx,5.33,0.0 
2022-10-20,22:29:08,Buy with INR,limit,trx,INR,trx,0.164,0.0 
2022-10-20,22:45:40,Buy with INR,market,trx,INR,trx,7.994,0.0 
2022-10-20,22:45:20,Buy with INR,limit,trx,INR,trx,20.042,0.0 
2022-10-20,22:32:57,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,23:34:47,Buy with INR,limit,trx,INR,trx,2.666,0.0 
2022-10-20,22:48:19,Buy with INR,limit,trx,INR,,,0.0 
2022-10-20,23:57:18,Buy with INR,limit,trx,INR,trx,0.112,0.0 
2022-10-21,00:03:19,Buy with INR,limit,trx,INR,trx,0.044,0.0 
2022-10-21,00:18:48,Buy with INR,limit,trx,INR,trx,0.132,0.0 
2022-10-21,00:04:27,Buy with INR,limit,trx,INR,trx,0.866,0.0 
2022-10-21,00:19:58,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,00:17:24,Buy with INR,limit,trx,INR,trx,0.13,0.0 
2022-10-21,00:20:36,Buy with INR,limit,trx,INR,trx,0.122,0.0 
2022-10-21,00:25:37,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,00:22:41,Buy with INR,limit,trx,INR,trx,0.122,0.0 
2022-10-21,00:24:25,Buy with INR,limit,trx,INR,trx,1.154,0.0 
2022-10-21,00:27:11,Buy with INR,limit,trx,INR,trx,0.032,0.0 
2022-10-21,00:26:08,Buy with INR,limit,trx,INR,trx,0.14,0.0 
2022-10-21,00:27:53,Buy with INR,limit,trx,INR,trx,0.102,0.0 
2022-10-21,00:35:22,Buy with INR,limit,trx,INR,trx,0.362,0.0 
2022-10-18,11:38:58,Buy with INR,market,trx,INR,trx,0.81,0.0 
2022-10-18,10:28:32,Buy with INR,limit,trx,INR,trx,0.16,0.0 
2022-10-18,10:31:39,Buy with INR,limit,trx,INR,trx,4.228,0.0 
2022-10-21,01:00:02,Buy with INR,limit,trx,INR,trx,1.926,0.0 
2022-10-21,00:57:10,Buy with INR,limit,trx,INR,trx,0.108,0.0 
2022-10-21,00:31:44,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,03:54:38,Buy with INR,limit,trx,INR,trx,1.914,0.0 
2022-10-21,04:01:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:03:45,Buy with INR,limit,trx,INR,trx,4.022,0.0 
2022-10-21,04:03:37,Buy with INR,limit,trx,INR,trx,6.568,0.0 
2022-10-21,04:04:22,Buy with INR,limit,trx,INR,trx,5.334,0.0 
2022-10-21,04:14:50,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:16:21,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:20:25,Buy with INR,limit,trx,INR,trx,0.14,0.0 
2022-10-21,04:22:21,Buy with INR,limit,trx,INR,trx,0.158,0.0 
2022-10-21,04:29:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:26:15,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:24:55,Buy with INR,limit,trx,INR,trx,0.156,0.0 
2022-10-21,04:28:19,Buy with INR,limit,trx,INR,trx,0.136,0.0 
2022-10-21,04:30:29,Buy with INR,market,trx,INR,trx,0.234,0.0 
2022-10-21,04:39:07,Buy with INR,limit,trx,INR,trx,0.182,0.0 
2022-10-21,04:30:49,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:42:04,Buy with INR,market,trx,INR,trx,0.282,0.0 
2022-10-21,04:34:58,Buy with INR,market,trx,INR,trx,1.246,0.0 
2022-10-21,04:32:03,Buy with INR,limit,trx,INR,trx,0.228,0.0 
2022-10-21,04:43:18,Buy with INR,market,trx,INR,trx,0.472,0.0 
2022-10-21,04:42:19,Buy with INR,market,trx,INR,trx,0.296,0.0 
2022-10-21,04:42:34,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-21,04:40:25,Buy with INR,limit,trx,INR,trx,0.468,0.0 
2022-10-21,04:43:49,Buy with INR,market,trx,INR,trx,0.138,0.0 
2022-10-21,04:44:27,Buy with INR,market,trx,INR,trx,1.5,0.0 
2022-10-21,04:43:35,Buy with INR,market,trx,INR,trx,0.604,0.0 
2022-10-21,04:44:40,Buy with INR,market,trx,INR,trx,0.118,0.0 
2022-10-21,04:47:12,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:47:52,Buy with INR,market,trx,INR,trx,0.188,0.0 
2022-10-21,04:47:30,Buy with INR,limit,trx,INR,trx,0.374,0.0 
2022-10-21,04:48:07,Buy with INR,market,trx,INR,trx,0.194,0.0 
2022-10-21,04:44:22,Buy with INR,market,trx,INR,trx,0.416,0.0 
2022-10-21,04:49:07,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-21,04:48:53,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-21,04:49:58,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:50:26,Buy with INR,limit,trx,INR,trx,0.112,0.0 
2022-10-21,04:55:18,Buy with INR,market,trx,INR,trx,0.28,0.0 
2022-10-21,05:03:35,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,05:02:39,Buy with INR,limit,trx,INR,trx,2.366,0.0 
2022-10-21,05:29:14,Buy with INR,limit,trx,INR,trx,0.182,0.0 
2022-10-21,05:04:11,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,04:59:17,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,05:31:13,Buy with INR,limit,trx,INR,trx,5.22,0.0 
2022-10-21,05:31:46,Buy with INR,limit,trx,INR,trx,0.04,0.0 
2022-10-21,05:30:25,Buy with INR,limit,trx,INR,trx,7.14,0.0 
2022-10-21,05:32:31,Buy with INR,limit,trx,INR,trx,6.762,0.0 
2022-10-21,05:04:55,Buy with INR,limit,trx,INR,trx,7.338,0.0 
2022-10-21,05:34:55,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,05:33:46,Buy with INR,limit,trx,INR,trx,7.198,0.0 
2022-10-21,05:32:45,Buy with INR,limit,trx,INR,trx,0.18,0.0 
2022-10-21,06:34:52,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,06:35:48,Buy with INR,limit,trx,INR,trx,0.986,0.0 
2022-10-21,06:37:54,Buy with INR,limit,trx,INR,trx,3.208,0.0 
2022-10-21,05:34:15,Buy with INR,limit,trx,INR,,,0.0 
2022-10-21,07:14:57,Buy with INR,limit,trx,INR,trx,13.388,0.0 
2022-10-21,07:16:58,Buy with INR,limit,trx,INR,trx,0.344,0.0 
2022-10-21,08:17:11,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-21,07:13:03,Buy with INR,limit,trx,INR,trx,0.344,0.0 
2022-10-21,08:19:44,Buy with INR,limit,trx,INR,trx,2.398,0.0 
2022-10-21,07:26:34,Buy with INR,limit,trx,INR,trx,0.642,0.0 
2022-10-21,08:24:27,Buy with INR,limit,trx,INR,trx,0.118,0.0 
2022-10-21,05:36:19,Buy with INR,limit,trx,INR,trx,16.46,0.0 
2022-10-21,09:03:29,Buy with INR,limit,trx,INR,trx,0.342,0.0 
2022-10-21,08:27:38,Buy with INR,limit,trx,INR,trx,10.528,0.0 
